pair,omega,kn,kf,same_organ,same_ct
Sple|memory b cell vs Sple|naive thymus-d..,58.688330034529685,0.007302824148672043,0.4285905538213981,True,False
"Bone|cd4-positive, .. vs Sple|memory b cell",56.78664261551148,0.007832689202566006,0.4447921224644914,False,False
Lung|type ii pneumo.. vs Lung|respiratory go..,56.13593186650024,0.006239824585509937,0.35027836779109894,True,False
"Bone|cd4-positive, .. vs Bone|memory b cell",54.5707205394293,0.0077393723327433325,0.42234312472072744,True,False
"Sple|memory b cell vs Sple|cd4-positive, ..",53.109700199599956,0.007647115319104003,0.40613600198938177,True,False
"Sple|memory b cell vs Sple|cd8-positive, ..",52.469760348047856,0.007882831672432457,0.41361028871653227,True,False
Sple|memory b cell vs Sple|regulatory t c..,49.451197729454805,0.008782351680162951,0.43429780946534774,True,False
Bone|granulocyte vs Bone|myeloid progen..,49.441929388799075,0.008611508789572647,0.4257696095050734,True,False
"Sple|cd8-positive, .. vs Sple|cd4-positive, ..",47.02134761447809,0.0021916288588316912,0.10305334241304688,True,False
Lung|club cell vs Lung|non-classical ..,45.95061464357554,0.011866960697943418,0.5452941380216543,True,False
Lung|basal cell vs Lung|lung microvasc..,45.61085240040967,0.00814764200042365,0.3716208966927017,True,False
Lung|type ii pneumo.. vs Lung|vein EC,45.20338577959731,0.012201640901448624,0.5515554808122957,True,False
Hear|fibroblast of .. vs Lung|club cell,44.6998923694254,0.012532370890923735,0.5601956299580109,False,False
Lung|respiratory go.. vs Lung|vein EC,44.27060254305039,0.010596212782210557,0.4691007245428337,True,False
Hear|cardiac EC vs Hear|fibroblast of ..,43.67821824373184,0.01081342162641499,0.4723109897600436,True,False
Lung|club cell vs Lung|vein EC,43.677897263310285,0.010381226524537625,0.4534301456059061,True,False
Sple|memory b cell vs Sple|type i nk t cell,43.21690258903002,0.009821751742871743,0.42446568832532394,True,False
Lung|non-classical .. vs Lung|respiratory go..,42.89330200291046,0.012484852813088991,0.5355165621737124,True,False
Lung|respiratory go.. vs Lung|lung microvasc..,42.736308246623835,0.011259811900850495,0.4812027921937502,True,False
Lung|type ii pneumo.. vs Lung|club cell,42.52565499298371,0.005543484175549552,0.235740295508485,True,False
Live|fibroblast vs Lung|respiratory go..,42.314852132688195,0.013558498332655648,0.5737258520876232,False,False
Hear|fibroblast of .. vs Lung|respiratory go..,42.18702617289225,0.013508193358020856,0.5698705067433152,False,False
Lung|basal cell vs Lung|club cell,42.173638769764835,0.004014251504311561,0.16929559287382087,True,False
Lung|non-classical .. vs Lung|vein EC,41.4908201753058,0.011726624358765952,0.4865472625329188,True,False
Lung|basal cell vs Lung|non-classical ..,41.26433516314904,0.01176439917817756,0.485450110681394,True,False
Hear|cardio vs Hear|hepatocyte,41.23204818964215,0.005648416793193431,0.2328957934121355,True,False
Lung|respiratory go.. vs Lung|bronchial vess..,41.221111368489325,0.013448476264205103,0.5543611378232838,True,False
Hear|fibroblast of .. vs Lung|vein EC,40.891355892132616,0.012202677577646233,0.49898403166447886,False,False
Lung|basal cell vs Lung|vein EC,40.53231861660623,0.00878789775991631,0.35619387197508806,True,False
Lung|club cell vs Lung|lung microvasc..,40.45749067229222,0.011186396838540908,0.45257354575182795,True,False
Lung|non-classical .. vs Lung|lung microvasc..,39.930362782727855,0.013099274922874451,0.5230587998610663,True,False
Hear|fibroblast of .. vs Lung|basal cell,39.86682388706803,0.01232278742456974,0.49127039605309847,False,False
Sple|nk cell vs Sple|regulatory t c..,39.78480407369714,0.007950294406606558,0.31630090529505217,True,False
Lung|type ii pneumo.. vs Lung|lung microvasc..,39.78290241983732,0.013660760411792632,0.543464698443123,True,False
Bone|granulocyte vs Sple|macrophage,39.63214805478204,0.010449828427631933,0.41414914739097897,False,False
Sple|classical mono.. vs Sple|macrophage,39.57233257577597,0.004911284994695876,0.1943510031845233,True,False
Bone|memory b cell vs Sple|naive thymus-d..,39.336430042719904,0.01076431765383528,0.4234298283477063,False,False
Bone|memory b cell vs Sple|type i nk t cell,39.063586421398405,0.011438746925083645,0.4468384790605102,False,False
Lung|club cell vs Lung|respiratory go..,38.824047113000056,0.005203751574885219,0.20203069630769196,True,False
Hear|cardiac EC vs Lung|respiratory go..,38.56448965789002,0.012739405697642222,0.49128867927438874,False,False
Lung|type ii pneumo.. vs Lung|basal cell,38.311555725822814,0.00728602773333962,0.27913905752573137,True,False
Lung|type ii pneumo.. vs Lung|non-classical ..,38.271348351537895,0.014545528815344457,0.55667700024938,True,False
"Sple|cd4-positive, .. vs Sple|type i nk t cell",37.94702473117908,0.0048086571649968365,0.18247423236389643,True,False
"Sple|cd8-positive, .. vs Sple|naive thymus-d..",37.85900252078416,0.004099584093891159,0.15520616454479202,True,False
"Bone|memory b cell vs Sple|cd8-positive, ..",37.35426889991769,0.011342255451532095,0.4236816600680873,False,False
"Sple|cd8-positive, .. vs Sple|regulatory t c..",37.189697923268625,0.005250982937991809,0.19528246926415294,True,False
Hear|cardio vs Lung|respiratory go..,37.179798361804856,0.015772563614054283,0.5864207348192784,False,False
"Bone|memory b cell vs Sple|cd4-positive, ..",36.92245952166985,0.011095095261249653,0.4096582056725613,False,False
Bone|granulocyte vs Bone|erythroid prog..,36.76139584875638,0.011892197446129071,0.43717377782872047,True,False
Hear|fibroblast of .. vs Lung|type ii pneumo..,36.70083614838928,0.015680900057639672,0.5755021436747015,False,False
Live|macrophage vs Live|livEC,36.51550583881634,0.015535363970042428,0.5672816737562213,True,False
Hear|cardiac EC vs Lung|club cell,36.297712696168574,0.013578079253362681,0.4928532197043657,False,False
Hear|cardiac EC vs Lung|type ii pneumo..,36.21678837023059,0.015441878615047765,0.5592552498399743,False,False
Sple|macrophage vs Lung|respiratory go..,36.11051100815136,0.01551473539989549,0.5602450234464817,False,False
Sple|memory b cell vs Sple|nk cell,35.983953652093895,0.011553283662963328,0.415732823857566,True,False
Hear|cardiac EC vs Lung|non-classical ..,35.79187852823475,0.014437542050652973,0.5167467513232524,False,False
Lung|type ii pneumo.. vs Lung|lung ciliated ..,35.781954989841005,0.014633413868385216,0.5236121563862749,True,False
Hear|fibroblast of .. vs Lung|non-classical ..,35.67867317604014,0.016125818408706544,0.5753478047004125,False,False
Hear|hepatocyte vs Lung|respiratory go..,35.52422378872459,0.013090884278652312,0.4650435027071412,False,False
Kidn|macrophage vs Lung|club cell,35.21597879520787,0.015466073499917873,0.5446529164182341,False,False
Sple|naive thymus-d.. vs Sple|type i nk t cell,35.200853918016676,0.00633764869937295,0.22309064605033557,True,False
"Sple|cd8-positive, .. vs Sple|nk cell",35.17973088871329,0.0038949092809395527,0.13702186033940525,True,False
Lung|macrophage vs Lung|respiratory go..,34.92402909254279,0.013839632320253585,0.4833357217826316,True,False
Live|fibroblast vs Lung|club cell,34.86764565630293,0.01568504133563048,0.546900463395228,False,False
Hear|fibroblast of .. vs Lung|lung microvasc..,34.78168958195923,0.014642663758286188,0.5092965854937146,False,False
Hear|cardio vs Lung|basal cell,34.64858048648023,0.015956379884345964,0.5528659126956152,False,False
Kidn|macrophage vs Lung|vein EC,34.59488469255457,0.015146552935193352,0.523993252282688,False,False
Lung|club cell vs Lung|pericyte cell,34.45859759857312,0.014627940565048809,0.5040583176268613,True,False
Live|livEC vs Kidn|macrophage,34.37940503439541,0.016426894303511654,0.5647468527176299,False,False
Bone|monocyte vs Lung|basal cell,34.345964804235486,0.014885638203580725,0.5112616058287667,False,False
"Lung|basal cell vs Lung|cd8-positive, ..",34.23094193319271,0.01510050392745153,0.5169044731025418,True,False
Bone|hematopoietic .. vs Lung|basal cell,34.19369907747387,0.014303367943564516,0.48908505925663137,False,False
