pair,ct_i,ct_j,organ_i,organ_j,same_organ,same_ct,omega,js_raw,spearman_dist,cosine_dist,marker_jaccard_dist
Live|hepatocyte vs Live|macrophage,hepatocyte,macrophage,Liver,Liver,True,False,20.939516017638127,0.015955673692361144,0.3197882462344154,0.5089630484580994,0.9717223650385605
Live|hepatocyte vs Live|monocyte,hepatocyte,monocyte,Liver,Liver,True,False,18.34923315212587,0.01674937792779106,0.3110870031269979,0.522299587726593,0.9690721649484536
Live|hepatocyte vs Live|livEC,hepatocyte,endothelial cell of hepatic sinusoid,Liver,Liver,True,False,29.002957965332023,0.013102058666073928,0.27594439952851557,0.44863903522491455,0.961038961038961
Live|hepatocyte vs Live|EC,hepatocyte,endothelial cell,Liver,Liver,True,False,25.395713822162612,0.01195686301276043,0.29156837956864523,0.4004998803138733,0.9189189189189189
Live|hepatocyte vs Live|nk cell,hepatocyte,nk cell,Liver,Liver,True,False,14.680543221653457,0.014099050111403635,0.31542478487625203,0.47584325075149536,0.961038961038961
Live|hepatocyte vs Live|t cell,hepatocyte,t cell,Liver,Liver,True,False,18.95668412457908,0.008610850966815329,0.2813884048584331,0.3119167685508728,0.8372093023255813
Live|hepatocyte vs Live|erythrocyte,hepatocyte,erythrocyte,Liver,Liver,True,False,20.057482189449534,0.011806267678166976,0.3617284925770188,0.38654106855392456,0.8304093567251463
Live|hepatocyte vs Live|fibroblast,hepatocyte,fibroblast,Liver,Liver,True,False,23.04060170499696,0.013127214502637369,0.30350285896652485,0.42814236879348755,0.9637305699481865
Live|hepatocyte vs Live|neutrophil,hepatocyte,neutrophil,Liver,Liver,True,False,28.461775873096695,0.013092797694624264,0.6434127534045007,0.6228830814361572,0.961038961038961
Live|hepatocyte vs Live|intrahepatic c..,hepatocyte,intrahepatic cholangiocyte,Liver,Liver,True,False,31.376445750888706,0.010775075107050943,0.32004151738462505,0.346591591835022,0.8919667590027701
Live|hepatocyte vs Live|liver dendriti..,hepatocyte,liver dendritic cell,Liver,Liver,True,False,16.34824565285617,0.016550275808862307,0.37728758355868697,0.5082566738128662,0.9743589743589743
Live|hepatocyte vs Live|plasma cell,hepatocyte,plasma cell,Liver,Liver,True,False,12.48926038876289,0.012426695701542817,0.42197928414672115,0.45956188440322876,0.961038961038961
Live|hepatocyte vs Kidn|kidney epi,hepatocyte,kidney epithelial cell,Liver,Kidney,False,False,16.53390683195064,0.013627020693034335,0.26274043585384443,0.39251261949539185,0.9417989417989419
Live|hepatocyte vs Kidn|b cell,hepatocyte,b cell,Liver,Kidney,False,False,16.633604932395397,0.014616084700243781,0.3519893422128747,0.5282561182975769,0.9795918367346939
Live|hepatocyte vs Kidn|macrophage,hepatocyte,macrophage,Liver,Kidney,False,False,14.106482716783237,0.014225165979415014,0.2882005799432278,0.4767017364501953,0.9769820971867008
"Live|hepatocyte vs Kidn|cd8-positive, ..",hepatocyte,"cd8-positive, alpha-beta t cell",Liver,Kidney,False,False,10.898739073131537,0.013443843409338616,0.32641635581109474,0.5096873641014099,0.9769820971867008
Live|hepatocyte vs Kidn|cd4-positive h..,hepatocyte,cd4-positive helper t cell,Liver,Kidney,False,False,11.641200763404582,0.014236207718130606,0.3490854078027593,0.515968918800354,0.9769820971867008
Live|hepatocyte vs Kidn|nk cell,hepatocyte,nk cell,Liver,Kidney,False,False,21.79711234600209,0.014163687681640226,0.3571931751976758,0.5291937589645386,0.9769820971867008
Live|hepatocyte vs Kidn|EC,hepatocyte,endothelial cell,Liver,Kidney,False,False,7.940938021194355,0.012174468216815304,0.28950157570773527,0.44562095403671265,0.9769820971867008
Live|hepatocyte vs Hear|cardio,hepatocyte,cardiac muscle cell,Liver,Heart,False,False,22.502937759724833,0.01614888841353472,0.26941425857879153,0.47886407375335693,0.9821882951653944
Live|hepatocyte vs Hear|cardiac EC,hepatocyte,cardiac endothelial cell,Liver,Heart,False,False,33.47569379541585,0.015057710280268182,0.28961284596375547,0.5026352405548096,0.9795918367346939
Live|hepatocyte vs Hear|hepatocyte,hepatocyte,hepatocyte,Liver,Heart,False,True,8.570095581771694,0.013455758049678102,0.25810365519987655,0.4213842749595642,0.9821882951653944
Live|hepatocyte vs Hear|fibroblast of ..,hepatocyte,fibroblast of cardiac tissue,Liver,Heart,False,False,35.41880315206553,0.01306619723983556,0.3111100504687154,0.4534783363342285,0.961038961038961
Live|hepatocyte vs Hear|smooth muscle ..,hepatocyte,smooth muscle cell,Liver,Heart,False,False,31.75635659247284,0.013856199676588493,0.32712749047902867,0.49496638774871826,0.9743589743589743
Live|hepatocyte vs Hear|macrophage,hepatocyte,macrophage,Liver,Heart,False,False,5.653148005065403,0.011943307642753684,0.397297650155507,0.47607749700546265,0.9769820971867008
Live|hepatocyte vs Bone|cd24 neutrophil,hepatocyte,cd24 neutrophil,Liver,Bone_Marrow,False,False,19.98910066863965,0.01960882280174532,0.35127222676402137,0.6086870431900024,0.9743589743589743
"Live|hepatocyte vs Bone|cd4-positive, ..",hepatocyte,"cd4-positive, alpha-beta t cell",Liver,Bone_Marrow,False,False,6.383534491509901,0.01452984994643128,0.28575284607103146,0.4961619973182678,0.9795918367346939
Live|hepatocyte vs Bone|monocyte,hepatocyte,monocyte,Liver,Bone_Marrow,False,False,17.005368453084152,0.01557316293567618,0.3457875924590176,0.5150012969970703,0.9795918367346939
"Live|hepatocyte vs Bone|cd8-positive, ..",hepatocyte,"cd8-positive, alpha-beta t cell",Liver,Bone_Marrow,False,False,15.904516455634553,0.014308415458142392,0.366611277199102,0.5400385856628418,0.9795918367346939
Live|hepatocyte vs Bone|granulocyte,hepatocyte,granulocyte,Liver,Bone_Marrow,False,False,19.383845086343285,0.0151314352570384,0.2738749990493171,0.46719425916671753,0.9795918367346939
Live|hepatocyte vs Bone|plasma cell,hepatocyte,plasma cell,Liver,Bone_Marrow,False,False,14.955371799853607,0.01541831066453932,0.4133674511987514,0.5333671569824219,0.9795918367346939
Live|hepatocyte vs Bone|erythroid prog..,hepatocyte,erythroid progenitor,Liver,Bone_Marrow,False,False,20.362688288869567,0.01558316740516589,0.28782697756495723,0.4830273985862732,0.9769820971867008
Live|hepatocyte vs Bone|nk cell,hepatocyte,nk cell,Liver,Bone_Marrow,False,False,23.710551687011673,0.014212212044682489,0.3996239847357127,0.5639246702194214,0.9769820971867008
Live|hepatocyte vs Bone|hematopoietic ..,hepatocyte,hematopoietic stem cell,Liver,Bone_Marrow,False,False,7.538127061831598,0.014039786283321748,0.34232596387840586,0.4933762550354004,0.9795918367346939
Live|hepatocyte vs Bone|nampt neutrophil,hepatocyte,nampt neutrophil,Liver,Bone_Marrow,False,False,16.676015354240427,0.022477024395431085,0.38894444129782635,0.6620063781738281,0.9717223650385605
Live|hepatocyte vs Bone|memory b cell,hepatocyte,memory b cell,Liver,Bone_Marrow,False,False,13.151158866050565,0.014725917204289788,0.3136727017689164,0.503167450428009,0.9795918367346939
Live|hepatocyte vs Bone|myeloid progen..,hepatocyte,myeloid progenitor,Liver,Bone_Marrow,False,False,19.774657106805563,0.015665862538180086,0.27884909548706405,0.4659351110458374,0.9769820971867008
Live|hepatocyte vs Bone|macrophage,hepatocyte,macrophage,Liver,Bone_Marrow,False,False,16.472631135923624,0.01715197134530341,0.36161086263860454,0.558545708656311,0.9795918367346939
Live|hepatocyte vs Bone|naive b cell,hepatocyte,naive b cell,Liver,Bone_Marrow,False,False,23.033257437543938,0.015042621952927004,0.41860804026141174,0.5754351615905762,0.9795918367346939
Live|hepatocyte vs Bone|neutrophil,hepatocyte,neutrophil,Liver,Bone_Marrow,False,False,16.280242046093125,0.022385504047796684,0.4507541487128852,0.6493270993232727,0.9717223650385605
Live|hepatocyte vs Bone|erythrocyte,hepatocyte,erythrocyte,Liver,Bone_Marrow,False,False,12.571132813962693,0.024760831340525452,0.4954517606009917,0.6851551532745361,0.9743589743589743
Live|hepatocyte vs Sple|memory b cell,hepatocyte,memory b cell,Liver,Spleen,False,False,12.88122855442544,0.015282075910325887,0.27736907676009026,0.4990682601928711,0.9795918367346939
Live|hepatocyte vs Sple|neutrophil,hepatocyte,neutrophil,Liver,Spleen,False,False,19.789536287091053,0.021961986243622653,0.3380725613137123,0.6874684691429138,0.9769820971867008
Live|hepatocyte vs Sple|classical mono..,hepatocyte,classical monocyte,Liver,Spleen,False,False,20.03985563747838,0.016278978420103236,0.2680331661825264,0.4946482181549072,0.9769820971867008
"Live|hepatocyte vs Sple|cd8-positive, ..",hepatocyte,"cd8-positive, alpha-beta memory t cell",Liver,Spleen,False,False,11.042653531368623,0.014697464558850955,0.28052185785616224,0.507771909236908,0.9795918367346939
Live|hepatocyte vs Sple|plasma cell,hepatocyte,plasma cell,Liver,Spleen,False,False,12.976764468227337,0.015975231509208196,0.2913443710118907,0.48615992069244385,0.9795918367346939
