dataset,group,n_pairs,omega_mean,ci_95_lower,ci_95_upper,ci_width,omega_cal_mean,ci_cal_lower,ci_cal_upper
Brain,Astrocyte,5778,14.3633,14.1379,14.5843,0.4464,2.1534182908545727,2.119625187406297,2.186551724137931
Brain,Fibroblast,3403,3.9861,3.9221,4.05,0.1278,0.597616191904048,0.5880209895052474,0.6071964017991004
Brain,Microglia,5671,8.0241,7.8945,8.1569,0.2624,1.2030134932533734,1.183583208395802,1.2229235382308845
Brain,Oligodendrocyte,5778,8.6598,8.5463,8.7757,0.2293,1.29832083958021,1.281304347826087,1.315697151424288
Brain,Oligodendrocyte precursor,5671,7.6494,7.5449,7.7528,0.2079,1.1468365817091455,1.131169415292354,1.1623388305847075
Brain,Vascular,3321,3.4045,3.3629,3.447,0.0842,0.5104197901049475,0.5041829085457271,0.516791604197901
Brain,Committed oligodendrocyte precursor,1326,3.1668,3.0863,3.2465,0.1602,0.47478260869565214,0.4627136431784108,0.4867316341829086
Brain,Ependymal,780,4.1334,4.0126,4.2554,0.2428,0.6197001499250375,0.6015892053973013,0.6379910044977511
Brain,Bergmann glia,21,2.3716,1.9501,2.8965,0.9464,0.3555622188905547,0.2923688155922039,0.4342578710644678
Brain,Choroid plexus,15,4.7993,4.1232,5.5297,1.4065,0.719535232383808,0.6181709145427287,0.82904047976012
Mouse (all pairs),all,703,7.6222,7.3389,7.9185,0.5796,1.1427586206896552,1.1002848575712143,1.1871814092953523
Human (all pairs),all,5151,14.1184,13.9048,14.3318,0.427,2.116701649175412,2.0846776611694153,2.148695652173913
Mouse (pilot),C_control,6,1.5367,1.2243,1.873,0.6487,0.23038980509745127,0.18355322338830585,0.2808095952023988
Mouse (pilot),S_same_ct,4,4.0256,2.2527,5.6574,3.4047,0.6035382308845577,0.33773613193403296,0.8481859070464768
Mouse (pilot),D_diff_ct,3,13.1792,7.5824,23.7164,16.134,1.9758920539730136,1.136791604197901,3.55568215892054
Mouse (pilot),X_cross,2,7.0683,5.4431,8.6935,3.2504,1.0597151424287856,0.816056971514243,1.3033733133433283
Human (per-CT),"cd4-positive, alpha-beta t cell",1,16.7105,,,,2.5053223388305845,,
Human (per-CT),"cd8-positive, alpha-beta t cell",6,9.9346,8.9837,10.8856,1.9018,1.4894452773613194,1.34688155922039,1.632023988005997
Human (per-CT),classical monocyte,1,17.5047,,,,2.6243928035982007,,
Human (per-CT),endothelial cell,3,26.2464,24.2299,28.2629,4.033,3.934992503748126,3.6326686656671665,4.237316341829085
Human (per-CT),hematopoietic stem cell,1,11.1219,,,,1.6674512743628187,,
Human (per-CT),erythrocyte,3,29.3597,27.4773,31.242,3.7647,4.401754122938531,4.119535232383808,4.683958020989506
Human (per-CT),macrophage,15,15.4929,14.291,16.6948,2.4039,2.3227736131934034,2.1425787106446776,2.502968515742129
Human (per-CT),intermediate monocyte,1,21.7813,,,,3.265562218890555,,
Human (per-CT),naive b cell,1,21.0626,,,,3.1578110944527737,,
Human (per-CT),neutrophil,6,14.2157,12.9337,15.4978,2.564,2.131289355322339,1.9390854572713643,2.3235082458770613
Human (per-CT),memory b cell,1,22.3612,,,,3.352503748125937,,
Human (per-CT),monocyte,1,15.193,,,,2.2778110944527734,,
Human (per-CT),nk cell,10,17.2805,16.6217,17.9394,1.3177,2.5907796101949025,2.492008995502249,2.689565217391304
Human (per-CT),plasma cell,6,10.2019,8.119,12.2847,4.1656,1.52952023988006,1.2172413793103447,1.841784107946027
Human (per-CT),smooth muscle cell,1,12.2207,,,,1.8321889055472265,,
Human (per-CT),b cell,1,9.361,,,,1.403448275862069,,
Human (per-CT),hepatocyte,1,8.5701,,,,1.2848725637181408,,
