cell_type,kn_mean,kn_std,kn_median,kn_min,kn_max,kn_cv,n_pairs
Astrocyte,0.00782007549875703,0.005346484245139112,0.0062743071987184,0.0005873293570102,0.0428197363153807,0.6836870367797506,5778
Bergmann glia,0.04661592606132436,0.029738971292085376,0.0586182458955608,0.0016627870013734,0.1062151082114292,0.6379573207011495,21
Choroid plexus,0.01803513688239038,0.00715653876685111,0.01738456336292,0.0063156584628825,0.0316599494640419,0.3968108927323306,15
Committed oligodendrocyte precursor,0.03442402036133061,0.012940415830477031,0.032729031469361056,0.0061691248812516,0.0765895548916875,0.37591239183129627,1326
Ependymal,0.027318102636333396,0.01673607948701096,0.022657521259734602,0.0037787140803667,0.1017894811095916,0.6126369649388377,780
Fibroblast,0.030601585620429,0.0141942178258138,0.028808393764295,0.0047917195189437,0.0956519179040382,0.463839292573716,3403
Microglia,0.009409369210217537,0.005962699770999852,0.0078710031551193,0.0006698630251158,0.0512983267460413,0.633698140415727,5671
Oligodendrocyte,0.006112946382065347,0.004978205252623509,0.0044371776277801495,0.0003511118263114,0.0401670736817843,0.8143708355154181,5778
Oligodendrocyte precursor,0.007330765887356754,0.00470644932429969,0.0060721731563557,0.0003861822010573,0.0399985592231082,0.6420133171101295,5671
Vascular,0.02977976309086721,0.014958973625083834,0.027219896256105,0.0039067156163106,0.0958463694585536,0.5023201017227503,3321
