cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Bergmann glia,Human CBL::A,Human CBL::B,0,25.33894323244093,True,0.7662337662337663,0.23476523476523475
Bergmann glia,Human CBL::A,Human CBV::A,1,26.406281380636123,False,0.7102897102897103,0.2907092907092907
Bergmann glia,Human CBL::A,Human CBV::B,2,39.32116286281161,False,0.972027972027972,0.028971028971028972
Bergmann glia,Human CBL::A,Human IC::A,3,12.62031137794104,False,0.3866133866133866,0.6143856143856143
Bergmann glia,Human CBL::A,Human IC::B,4,12.287079647460523,False,0.36663336663336665,0.6343656343656343
Bergmann glia,Human CBL::A,Human IO::A,5,8.014994108591194,False,0.06693306693306693,0.9340659340659341
Bergmann glia,Human CBL::A,Human IO::B,6,9.06649702742368,False,0.2137862137862138,0.7872127872127872
Bergmann glia,Human CBL::A,Human MoAN::A,7,20.078968609291866,False,0.7772227772227772,0.22377622377622378
Bergmann glia,Human CBL::A,Human MoAN::B,8,17.426803132189598,False,0.7452547452547452,0.25574425574425574
Bergmann glia,Human CBL::A,Human PnAN::A,9,12.429979275424481,False,0.2647352647352647,0.7362637362637363
Bergmann glia,Human CBL::A,Human PnAN::B,10,13.49166077375918,False,0.32367632367632365,0.6773226773226774
Bergmann glia,Human CBL::A,Human PnEN::A,11,10.213226979797705,False,0.11988011988011989,0.8811188811188811
Bergmann glia,Human CBL::A,Human PnEN::B,12,7.797793673207756,False,0.06293706293706294,0.938061938061938
Bergmann glia,Human CBL::B,Human CBV::A,13,15.114891745755553,False,0.2807192807192807,0.7202797202797203
Bergmann glia,Human CBL::B,Human CBV::B,14,10.46149202698042,False,0.0999000999000999,0.9010989010989011
Bergmann glia,Human CBL::B,Human IC::A,15,9.247906880494423,False,0.24375624375624375,0.7572427572427572
Bergmann glia,Human CBL::B,Human IC::B,16,10.39616170025041,False,0.3046953046953047,0.6963036963036963
Bergmann glia,Human CBL::B,Human IO::A,17,7.292729242637141,False,0.03696303696303696,0.964035964035964
Bergmann glia,Human CBL::B,Human IO::B,18,8.634252782741203,False,0.2007992007992008,0.8001998001998002
Bergmann glia,Human CBL::B,Human MoAN::A,19,19.753573056356675,False,0.7762237762237763,0.22477522477522477
Bergmann glia,Human CBL::B,Human MoAN::B,20,16.3594093626336,False,0.7002997002997003,0.3006993006993007
Bergmann glia,Human CBL::B,Human PnAN::A,21,13.644249141321303,False,0.3116883116883117,0.6893106893106893
Bergmann glia,Human CBL::B,Human PnAN::B,22,15.058995554283337,False,0.3886113886113886,0.6123876123876124
