cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Committed oligodendrocyte precursor,Human A25::A,Human A25::B,0,11.764248120313342,True,0.15584415584415584,0.8451548451548452
Committed oligodendrocyte precursor,Human A25::A,Human A35r::A,1,11.039838788145868,False,0.45454545454545453,0.5464535464535465
Committed oligodendrocyte precursor,Human A25::A,Human A35r::B,2,12.004749940340867,False,0.5064935064935064,0.4945054945054945
Committed oligodendrocyte precursor,Human A25::A,Human A38::A,3,11.044414293356136,False,0.12087912087912088,0.8801198801198801
Committed oligodendrocyte precursor,Human A25::A,Human A38::B,4,13.488091407593163,False,0.25374625374625376,0.7472527472527473
Committed oligodendrocyte precursor,Human A25::A,Human A44-A45::A,5,9.965593697425563,False,0.12287712287712288,0.8781218781218781
Committed oligodendrocyte precursor,Human A25::A,Human A44-A45::B,6,10.8951699570813,False,0.17182817182817184,0.8291708291708292
Committed oligodendrocyte precursor,Human A25::A,Human ANC::A,7,34.69525604904122,False,0.951048951048951,0.04995004995004995
Committed oligodendrocyte precursor,Human A25::A,Human ANC::B,8,10.59168311130226,False,0.4015984015984016,0.5994005994005994
Committed oligodendrocyte precursor,Human A25::A,Human AON::A,9,9.613145317434334,False,0.04595404595404595,0.955044955044955
Committed oligodendrocyte precursor,Human A25::A,Human AON::B,10,14.267656692399852,False,0.3206793206793207,0.6803196803196803
Committed oligodendrocyte precursor,Human A25::A,Human BL::A,11,18.72146187375454,False,0.5514485514485514,0.44955044955044954
Committed oligodendrocyte precursor,Human A25::A,Human BL::B,12,19.898624642781193,False,0.6633366633366633,0.33766233766233766
Committed oligodendrocyte precursor,Human A25::A,Human BM::A,13,12.655979508601916,False,0.18081918081918083,0.8201798201798202
Committed oligodendrocyte precursor,Human A25::A,Human BM::B,14,11.121453197735146,False,0.12287712287712288,0.8781218781218781
Committed oligodendrocyte precursor,Human A25::A,Human BNST::A,15,16.938529592877277,False,0.46653346653346656,0.5344655344655345
Committed oligodendrocyte precursor,Human A25::A,Human BNST::B,16,34.945735385012455,False,0.9180819180819181,0.08291708291708291
Committed oligodendrocyte precursor,Human A25::A,Human CA1C-CA3C::A,17,21.2339818423456,False,0.6523476523476524,0.34865134865134867
Committed oligodendrocyte precursor,Human A25::A,Human CA1C-CA3C::B,18,16.59469153670245,False,0.5494505494505495,0.4515484515484515
Committed oligodendrocyte precursor,Human A25::A,Human CA1U::A,19,12.91658089071453,False,0.34065934065934067,0.6603396603396603
Committed oligodendrocyte precursor,Human A25::A,Human CA1U::B,20,22.895377479429467,False,0.7832167832167832,0.2177822177822178
Committed oligodendrocyte precursor,Human A25::A,Human CA1U-CA2U-CA3U::A,21,8.914515876779213,False,0.053946053946053944,0.9470529470529471
Committed oligodendrocyte precursor,Human A25::A,Human CA1U-CA2U-CA3U::B,22,16.38854309237951,False,0.5504495504495505,0.45054945054945056
Committed oligodendrocyte precursor,Human A25::A,Human CA3R::A,23,19.64755429714659,False,0.8401598401598401,0.16083916083916083
Committed oligodendrocyte precursor,Human A25::A,Human CA3R::B,24,32.929215309754355,False,0.961038961038961,0.03996003996003996
Committed oligodendrocyte precursor,Human A25::A,Human CA4C-DGC::A,25,13.84420153193888,False,0.23376623376623376,0.7672327672327672
Committed oligodendrocyte precursor,Human A25::A,Human CA4C-DGC::B,26,12.86280050129048,False,0.1848151848151848,0.8161838161838162
Committed oligodendrocyte precursor,Human A25::A,Human CBV::A,27,12.039969442699165,False,0.10789210789210789,0.8931068931068931
Committed oligodendrocyte precursor,Human A25::A,Human CBV::B,28,14.335969148716895,False,0.22877122877122877,0.7722277722277723
Committed oligodendrocyte precursor,Human A25::A,Human CEN::A,29,14.372114162353204,False,0.26073926073926074,0.7402597402597403
Committed oligodendrocyte precursor,Human A25::A,Human CEN::B,30,13.869830185094319,False,0.22277722277722278,0.7782217782217782
