cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Fibroblast,Human A1C::A,Human A1C::B,0,6.839272408249438,True,0.026973026973026972,0.974025974025974
Fibroblast,Human A1C::A,Human A24::A,1,7.593561434953624,False,0.06793206793206794,0.9330669330669331
Fibroblast,Human A1C::A,Human A24::B,2,5.807747969928956,False,0.017982017982017984,0.983016983016983
Fibroblast,Human A1C::A,Human A35-A36::A,3,6.594460037069044,False,0.04895104895104895,0.952047952047952
Fibroblast,Human A1C::A,Human A35-A36::B,4,7.415469186182678,False,0.13086913086913088,0.8701298701298701
Fibroblast,Human A1C::A,Human A35r::A,5,10.468853890764063,False,0.7012987012987013,0.2997002997002997
Fibroblast,Human A1C::A,Human A35r::B,6,9.613362060832486,False,0.6263736263736264,0.37462537462537465
Fibroblast,Human A1C::A,Human A38::A,7,8.738093464682677,False,0.16583416583416583,0.8351648351648352
Fibroblast,Human A1C::A,Human A38::B,8,9.452428902633562,False,0.3706293706293706,0.6303696303696303
Fibroblast,Human A1C::A,Human A40::A,9,5.614254678969916,False,0.003996003996003996,0.997002997002997
Fibroblast,Human A1C::A,Human A40::B,10,6.105522940982503,False,0.004995004995004995,0.996003996003996
Fibroblast,Human A1C::A,Human A43::A,11,7.129925357417159,False,0.03596403596403597,0.965034965034965
Fibroblast,Human A1C::A,Human A43::B,12,6.836566233303859,False,0.025974025974025976,0.975024975024975
Fibroblast,Human A1C::A,Human ANC::A,13,7.871081434307556,False,0.0999000999000999,0.9010989010989011
Fibroblast,Human A1C::A,Human ANC::B,14,8.417669939916358,False,0.13786213786213786,0.8631368631368631
Fibroblast,Human A1C::A,Human BL::A,15,8.077921306416247,False,0.0999000999000999,0.9010989010989011
Fibroblast,Human A1C::A,Human BL::B,16,5.88188923164008,False,0.003996003996003996,0.997002997002997
Fibroblast,Human A1C::A,Human BM::A,17,11.892857991982545,False,0.5364635364635365,0.4645354645354645
Fibroblast,Human A1C::A,Human BM::B,18,11.892074635751746,False,0.5304695304695305,0.47052947052947053
Fibroblast,Human A1C::A,Human BNST::A,19,6.901673755226009,False,0.03496503496503497,0.9660339660339661
Fibroblast,Human A1C::A,Human BNST::B,20,5.997556057560673,False,0.006993006993006993,0.994005994005994
Fibroblast,Human A1C::A,Human CA1-3::A,21,6.631403481727549,False,0.24875124875124874,0.7522477522477522
Fibroblast,Human A1C::A,Human CA1-3::B,22,6.755282250273984,False,0.23676323676323677,0.7642357642357642
Fibroblast,Human A1C::A,Human CA1C-CA3C::A,23,7.8897872154454936,False,0.0989010989010989,0.9020979020979021
Fibroblast,Human A1C::A,Human CA1C-CA3C::B,24,7.6792074938042525,False,0.07892107892107893,0.922077922077922
Fibroblast,Human A1C::A,Human CA1R-CA2R-CA3R::A,25,9.101529062903516,False,0.3226773226773227,0.6783216783216783
Fibroblast,Human A1C::A,Human CA1R-CA2R-CA3R::B,26,9.143655928788528,False,0.32667332667332666,0.6743256743256744
Fibroblast,Human A1C::A,Human CA1U::A,27,6.5552067020320175,False,0.05194805194805195,0.949050949050949
Fibroblast,Human A1C::A,Human CA1U::B,28,6.947951970741455,False,0.06893106893106893,0.932067932067932
Fibroblast,Human A1C::A,Human CA1U-CA2U-CA3U::A,29,7.183289173861702,False,0.09490509490509491,0.906093906093906
Fibroblast,Human A1C::A,Human CA1U-CA2U-CA3U::B,30,7.527865571348047,False,0.13986013986013987,0.8611388611388612
Fibroblast,Human A1C::A,Human CA3R::A,31,6.66368602827498,False,0.24975024975024976,0.7512487512487512
Fibroblast,Human A1C::A,Human CA3R::B,32,6.796780820293133,False,0.2627372627372627,0.7382617382617382
Fibroblast,Human A1C::A,Human CA4C-DGC::A,33,8.363705377279492,False,0.13486513486513488,0.8661338661338661
Fibroblast,Human A1C::A,Human CA4C-DGC::B,34,8.24825950213868,False,0.12687312687312688,0.8741258741258742
Fibroblast,Human A1C::A,Human CBL::A,35,13.788861949884986,False,0.6583416583416584,0.34265734265734266
Fibroblast,Human A1C::A,Human CBL::B,36,10.037524848760526,False,0.3306693306693307,0.6703296703296703
Fibroblast,Human A1C::A,Human CBV::A,37,10.27746974790625,False,0.23676323676323677,0.7642357642357642
Fibroblast,Human A1C::A,Human CBV::B,38,11.018024303030055,False,0.34265734265734266,0.6583416583416584
Fibroblast,Human A1C::A,Human CEN::A,39,7.970284162758349,False,0.08391608391608392,0.9170829170829171
Fibroblast,Human A1C::A,Human CEN::B,40,6.940199935440835,False,0.01998001998001998,0.981018981018981
Fibroblast,Human A1C::A,Human CM::A,41,8.095931927758455,False,0.4305694305694306,0.5704295704295704
Fibroblast,Human A1C::A,Human CM::B,42,8.47763254981336,False,0.5104895104895105,0.4905094905094905
Fibroblast,Human A1C::A,Human CM-Pf::A,43,8.298318639500954,False,0.22777222777222778,0.7732267732267732
Fibroblast,Human A1C::A,Human CM-Pf::B,44,7.507241671266079,False,0.13186813186813187,0.8691308691308691
Fibroblast,Human A1C::A,Human CMN::A,45,6.078493121926585,False,0.007992007992007992,0.993006993006993
Fibroblast,Human A1C::A,Human CMN::B,46,7.330343337313424,False,0.055944055944055944,0.945054945054945
Fibroblast,Human A1C::A,Human CbDN::A,47,8.586983026797078,False,0.0989010989010989,0.9020979020979021
Fibroblast,Human A1C::A,Human CbDN::B,48,8.222255297148402,False,0.07792207792207792,0.9230769230769231
Fibroblast,Human A1C::A,Human Cla::A,49,9.012513249188508,False,0.16183816183816183,0.8391608391608392
