cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Microglia,Human A13::A,Human A13::B,0,7.384799216920754,True,0.005994005994005994,0.995004995004995
Microglia,Human A13::A,Human A14::A,1,8.933987699489897,False,0.17782217782217782,0.8231768231768232
Microglia,Human A13::A,Human A14::B,2,7.9972578387442335,False,0.13386613386613386,0.8671328671328671
Microglia,Human A13::A,Human A19::A,3,9.540178778830873,False,0.04995004995004995,0.951048951048951
Microglia,Human A13::A,Human A19::B,4,7.74968986332533,False,0.011988011988011988,0.989010989010989
Microglia,Human A13::A,Human A1C::A,5,7.775940139712218,False,0.012987012987012988,0.988011988011988
Microglia,Human A13::A,Human A1C::B,6,7.929053222270223,False,0.014985014985014986,0.986013986013986
Microglia,Human A13::A,Human A23::A,7,9.017313272504248,False,0.023976023976023976,0.977022977022977
Microglia,Human A13::A,Human A23::B,8,8.454207912515074,False,0.025974025974025976,0.975024975024975
Microglia,Human A13::A,Human A24::A,9,9.214946542347516,False,0.030969030969030968,0.97002997002997
Microglia,Human A13::A,Human A24::B,10,7.583619711977726,False,0.011988011988011988,0.989010989010989
Microglia,Human A13::A,Human A25::A,11,9.840513074719304,False,0.061938061938061936,0.939060939060939
Microglia,Human A13::A,Human A25::B,12,6.615990125838711,False,0.005994005994005994,0.995004995004995
Microglia,Human A13::A,Human A29-A30::A,13,4.138801419656616,False,0.001998001998001998,0.999000999000999
Microglia,Human A13::A,Human A29-A30::B,14,6.869964008261778,False,0.008991008991008992,0.9920079920079921
Microglia,Human A13::A,Human A32::A,15,9.946310080261112,False,0.07192807192807193,0.929070929070929
Microglia,Human A13::A,Human A32::B,16,4.641721342012334,False,0.001998001998001998,0.999000999000999
Microglia,Human A13::A,Human A35-A36::A,17,10.275757451442113,False,0.12787212787212787,0.8731268731268731
Microglia,Human A13::A,Human A35-A36::B,18,10.260134341853114,False,0.1258741258741259,0.8751248751248751
Microglia,Human A13::A,Human A35r::A,19,12.810841339683156,False,0.4695304695304695,0.5314685314685315
Microglia,Human A13::A,Human A35r::B,20,12.497751146917778,False,0.46053946053946054,0.5404595404595405
Microglia,Human A13::A,Human A38::A,21,8.628965341330387,False,0.03596403596403597,0.965034965034965
Microglia,Human A13::A,Human A38::B,22,8.100746221897914,False,0.022977022977022976,0.978021978021978
Microglia,Human A13::A,Human A40::A,23,8.72425410272408,False,0.027972027972027972,0.973026973026973
Microglia,Human A13::A,Human A40::B,24,9.03514473891341,False,0.03796203796203796,0.9630369630369631
Microglia,Human A13::A,Human A43::A,25,6.740460180632752,False,0.002997002997002997,0.998001998001998
Microglia,Human A13::A,Human A43::B,26,5.6214345993203105,False,0.001998001998001998,0.999000999000999
Microglia,Human A13::A,Human A44-A45::A,27,9.091346929617783,False,0.030969030969030968,0.97002997002997
Microglia,Human A13::A,Human A44-A45::B,28,9.728603083665952,False,0.053946053946053944,0.9470529470529471
Microglia,Human A13::A,Human A46::A,29,8.253495542546922,False,0.016983016983016984,0.984015984015984
Microglia,Human A13::A,Human A46::B,30,9.864518723948947,False,0.06393606393606394,0.9370629370629371
Microglia,Human A13::A,Human A5-A7::A,31,10.588203264700002,False,0.07892107892107893,0.922077922077922
Microglia,Human A13::A,Human A5-A7::B,32,6.968586357376434,False,0.008991008991008992,0.9920079920079921
Microglia,Human A13::A,Human ANC::A,33,13.442993152134514,False,0.22577422577422576,0.7752247752247752
Microglia,Human A13::A,Human ANC::B,34,15.069784352287117,False,0.31868131868131866,0.6823176823176823
Microglia,Human A13::A,Human AON::A,35,8.658291422178905,False,0.025974025974025976,0.975024975024975
Microglia,Human A13::A,Human AON::B,36,8.750834138904365,False,0.028971028971028972,0.972027972027972
Microglia,Human A13::A,Human BL::A,37,9.57783591893512,False,0.061938061938061936,0.939060939060939
Microglia,Human A13::A,Human BL::B,38,9.414697306470462,False,0.04995004995004995,0.951048951048951
Microglia,Human A13::A,Human BM::A,39,9.379696136588215,False,0.03796203796203796,0.9630369630369631
Microglia,Human A13::A,Human BM::B,40,8.92755438755719,False,0.04395604395604396,0.957042957042957
Microglia,Human A13::A,Human BNST::A,41,10.870516213311252,False,0.11688311688311688,0.8841158841158842
Microglia,Human A13::A,Human BNST::B,42,13.250858276438706,False,0.21078921078921078,0.7902097902097902
Microglia,Human A13::A,Human CA1-3::A,43,8.966895399938693,False,0.17482517482517482,0.8261738261738262
Microglia,Human A13::A,Human CA1-3::B,44,8.904907561750512,False,0.17382617382617382,0.8271728271728271
Microglia,Human A13::A,Human CA1C-CA3C::A,45,11.006164186804504,False,0.1068931068931069,0.8941058941058941
Microglia,Human A13::A,Human CA1C-CA3C::B,46,16.074241291695,False,0.36363636363636365,0.6373626373626373
Microglia,Human A13::A,Human CA1R-CA2R::A,47,9.96181823895135,False,0.24475524475524477,0.7562437562437563
Microglia,Human A13::A,Human CA1R-CA2R::B,48,9.64341630354203,False,0.2127872127872128,0.7882117882117882
Microglia,Human A13::A,Human CA1R-CA2R-CA3R::A,49,12.303424924769208,False,0.23976023976023977,0.7612387612387612
Microglia,Human A13::A,Human CA1R-CA2R-CA3R::B,50,12.62027811462055,False,0.26673326673326675,0.7342657342657343
Microglia,Human A13::A,Human CA1U::A,51,12.430335242189045,False,0.26673326673326675,0.7342657342657343
Microglia,Human A13::A,Human CA1U::B,52,12.095069986578237,False,0.22377622377622378,0.7772227772227772
Microglia,Human A13::A,Human CA1U-CA2U-CA3U::A,53,10.233417916212785,False,0.1108891108891109,0.8901098901098901
Microglia,Human A13::A,Human CA1U-CA2U-CA3U::B,54,9.746275637069495,False,0.0979020979020979,0.903096903096903
Microglia,Human A13::A,Human CA2U-CA3U::A,55,13.396797986478925,False,0.4945054945054945,0.5064935064935064
Microglia,Human A13::A,Human CA2U-CA3U::B,56,11.821941255902557,False,0.3936063936063936,0.6073926073926074
Microglia,Human A13::A,Human CA3R::A,57,14.34877678725506,False,0.5344655344655345,0.46653346653346656
Microglia,Human A13::A,Human CA3R::B,58,13.931455746107323,False,0.5314685314685315,0.4695304695304695
Microglia,Human A13::A,Human CA4C-DGC::A,59,13.343268516245187,False,0.22777222777222778,0.7732267732267732
Microglia,Human A13::A,Human CA4C-DGC::B,60,13.450155703193962,False,0.23476523476523475,0.7662337662337663
Microglia,Human A13::A,Human CBL::A,61,12.096008553698057,False,0.16283716283716285,0.8381618381618382
Microglia,Human A13::A,Human CBL::B,62,13.581429848897228,False,0.23876123876123875,0.7622377622377622
Microglia,Human A13::A,Human CBV::A,63,12.184646817962928,False,0.0899100899100899,0.9110889110889111
Microglia,Human A13::A,Human CBV::B,64,9.408397126316464,False,0.03196803196803197,0.9690309690309691
Microglia,Human A13::A,Human CEN::A,65,9.398709899047509,False,0.04095904095904096,0.9600399600399601
Microglia,Human A13::A,Human CEN::B,66,15.302405303930067,False,0.2887112887112887,0.7122877122877123
Microglia,Human A13::A,Human CM::A,67,15.032298711610402,False,0.5814185814185814,0.4195804195804196
Microglia,Human A13::A,Human CM::B,68,14.767588581654032,False,0.5594405594405595,0.44155844155844154
Microglia,Human A13::A,Human CM-Pf::A,69,8.594653949701222,False,0.054945054945054944,0.9460539460539461
Microglia,Human A13::A,Human CM-Pf::B,70,14.349683370253533,False,0.34565434565434566,0.6553446553446554
Microglia,Human A13::A,Human CMN::A,71,10.009568973404173,False,0.06993006993006994,0.9310689310689311
Microglia,Human A13::A,Human CMN::B,72,11.51612409329284,False,0.12687312687312688,0.8741258741258742
Microglia,Human A13::A,Human CaB::A,73,8.581817782622924,False,0.027972027972027972,0.973026973026973
Microglia,Human A13::A,Human CaB::B,74,11.82651856942327,False,0.15184815184815184,0.8491508491508492
Microglia,Human A13::A,Human CbDN::A,75,18.593439237887576,False,0.4155844155844156,0.5854145854145855
Microglia,Human A13::A,Human CbDN::B,76,12.558315344886493,False,0.14685314685314685,0.8541458541458542
Microglia,Human A13::A,Human Cla::A,77,13.276559041643008,False,0.18081918081918083,0.8201798201798202
Microglia,Human A13::A,Human Cla::B,78,13.604239010235048,False,0.21478521478521478,0.7862137862137862
Microglia,Human A13::A,Human CoA::A,79,13.907668402957402,False,0.5084915084915085,0.4925074925074925
Microglia,Human A13::A,Human CoA::B,80,12.782965039579533,False,0.47152847152847155,0.5294705294705294
Microglia,Human A13::A,Human DGR-CA4Rpy::A,81,56.60997724440044,False,0.973026973026973,0.027972027972027972
Microglia,Human A13::A,Human DGR-CA4Rpy::B,82,12.34264468676042,False,0.13886113886113885,0.8621378621378621
Microglia,Human A13::A,Human DGU-CA4Upy::A,83,11.497024479635995,False,0.12987012987012986,0.8711288711288712
Microglia,Human A13::A,Human DGU-CA4Upy::B,84,11.582254289236936,False,0.13986013986013987,0.8611388611388612
Microglia,Human A13::A,Human DTg::A,85,7.1291209346289,False,0.008991008991008992,0.9920079920079921
Microglia,Human A13::A,Human DTg::B,86,7.613071175553379,False,0.013986013986013986,0.987012987012987
Microglia,Human A13::A,Human ETH::A,87,10.395181950133107,False,0.12487512487512488,0.8761238761238761
Microglia,Human A13::A,Human ETH::B,88,8.030006786078928,False,0.025974025974025976,0.975024975024975
Microglia,Human A13::A,Human FI::A,89,8.920337552642383,False,0.029970029970029972,0.971028971028971
Microglia,Human A13::A,Human FI::B,90,13.22902319906444,False,0.2087912087912088,0.7922077922077922
Microglia,Human A13::A,Human GPe::A,91,11.652830782619038,False,0.12887112887112886,0.8721278721278721
Microglia,Human A13::A,Human GPe::B,92,12.44604514019886,False,0.13886113886113885,0.8621378621378621
Microglia,Human A13::A,Human GPi::A,93,13.111199218812697,False,0.2007992007992008,0.8001998001998002
Microglia,Human A13::A,Human GPi::B,94,14.989881496654203,False,0.27372627372627373,0.7272727272727273
Microglia,Human A13::A,Human Gpe::A,95,17.650610201221614,False,0.5424575424575424,0.45854145854145856
Microglia,Human A13::A,Human Gpe::B,96,17.901849140745526,False,0.5784215784215784,0.4225774225774226
Microglia,Human A13::A,Human HTHma::A,97,9.733983191582006,False,0.2177822177822178,0.7832167832167832
Microglia,Human A13::A,Human HTHma::B,98,10.452491746054445,False,0.28471528471528473,0.7162837162837162
Microglia,Human A13::A,Human HTHma-HTHtub::A,99,5.646267986239642,False,0.054945054945054944,0.9460539460539461
Microglia,Human A13::A,Human HTHma-HTHtub::B,100,6.6297861095643205,False,0.06693306693306693,0.9340659340659341
Microglia,Human A13::A,Human HTHpo::A,101,10.116930515975554,False,0.26673326673326675,0.7342657342657343
Microglia,Human A13::A,Human HTHpo::B,102,10.38731135600541,False,0.32667332667332666,0.6743256743256744
Microglia,Human A13::A,Human HTHpo-HTHso::A,103,11.225545588065344,False,0.18081918081918083,0.8201798201798202
Microglia,Human A13::A,Human HTHpo-HTHso::B,104,10.146766886913378,False,0.23876123876123875,0.7622377622377622
Microglia,Human A13::A,Human HTHso::A,105,19.59700787408129,False,0.7652347652347652,0.23576423576423577
Microglia,Human A13::A,Human HTHso::B,106,17.95870447682553,False,0.7152847152847153,0.2857142857142857
Microglia,Human A13::A,Human HTHso-HTHtub::A,107,8.47257079916528,False,0.04395604395604396,0.957042957042957
Microglia,Human A13::A,Human HTHso-HTHtub::B,108,4.211419349487383,False,0.016983016983016984,0.984015984015984
Microglia,Human A13::A,Human HTHtub::A,109,15.710914297161633,False,0.6243756243756243,0.37662337662337664
Microglia,Human A13::A,Human HTHtub::B,110,14.428448691476968,False,0.5514485514485514,0.44955044955044954
Microglia,Human A13::A,Human IC::A,111,11.175512542387,False,0.1018981018981019,0.8991008991008991
Microglia,Human A13::A,Human IC::B,112,10.818793902919358,False,0.0989010989010989,0.9020979020979021
Microglia,Human A13::A,Human IO::A,113,12.328545806533795,False,0.19080919080919082,0.8101898101898102
Microglia,Human A13::A,Human IO::B,114,12.496492671846864,False,0.1998001998001998,0.8011988011988012
Microglia,Human A13::A,Human ITG::A,115,7.437132267255794,False,0.007992007992007992,0.993006993006993
