cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Oligodendrocyte,Human A13::A,Human A13::B,0,20.142966821083387,True,0.13986013986013987,0.8611388611388612
Oligodendrocyte,Human A13::A,Human A14::A,1,25.259158243396506,False,0.43156843156843155,0.5694305694305695
Oligodendrocyte,Human A13::A,Human A14::B,2,25.109413296209233,False,0.4355644355644356,0.5654345654345654
Oligodendrocyte,Human A13::A,Human A19::A,3,24.60130245325609,False,0.28771228771228774,0.7132867132867133
Oligodendrocyte,Human A13::A,Human A19::B,4,28.485143663166262,False,0.3726273726273726,0.6283716283716284
Oligodendrocyte,Human A13::A,Human A1C::A,5,20.383064484965885,False,0.16283716283716285,0.8381618381618382
Oligodendrocyte,Human A13::A,Human A1C::B,6,30.28875744952235,False,0.40559440559440557,0.5954045954045954
Oligodendrocyte,Human A13::A,Human A23::A,7,25.74884151233311,False,0.26573426573426573,0.7352647352647352
Oligodendrocyte,Human A13::A,Human A23::B,8,25.414747843501164,False,0.2937062937062937,0.7072927072927073
Oligodendrocyte,Human A13::A,Human A24::A,9,19.174458736821183,False,0.12387612387612387,0.8771228771228772
Oligodendrocyte,Human A13::A,Human A24::B,10,39.531522007410224,False,0.6743256743256744,0.32667332667332666
Oligodendrocyte,Human A13::A,Human A25::A,11,25.337611434416274,False,0.24575424575424576,0.7552447552447552
Oligodendrocyte,Human A13::A,Human A25::B,12,19.00677895503633,False,0.12787212787212787,0.8731268731268731
Oligodendrocyte,Human A13::A,Human A29-A30::A,13,15.557186867179828,False,0.06593406593406594,0.935064935064935
Oligodendrocyte,Human A13::A,Human A29-A30::B,14,11.27967710265494,False,0.024975024975024976,0.9760239760239761
Oligodendrocyte,Human A13::A,Human A32::A,15,17.205124208126552,False,0.0959040959040959,0.9050949050949051
Oligodendrocyte,Human A13::A,Human A32::B,16,22.869966475909948,False,0.2547452547452547,0.7462537462537463
Oligodendrocyte,Human A13::A,Human A35-36::A,17,9.832824735932283,False,0.028971028971028972,0.972027972027972
Oligodendrocyte,Human A13::A,Human A35-36::B,18,9.695148444773956,False,0.027972027972027972,0.973026973026973
Oligodendrocyte,Human A13::A,Human A35-A36::A,19,35.03954855982295,False,0.6183816183816184,0.3826173826173826
Oligodendrocyte,Human A13::A,Human A35-A36::B,20,36.939550153389895,False,0.6593406593406593,0.34165834165834164
Oligodendrocyte,Human A13::A,Human A35r::A,21,27.3277951576978,False,0.46153846153846156,0.5394605394605395
Oligodendrocyte,Human A13::A,Human A35r::B,22,28.232849520321352,False,0.5274725274725275,0.47352647352647353
Oligodendrocyte,Human A13::A,Human A38::A,23,35.63342013821015,False,0.5874125874125874,0.41358641358641357
Oligodendrocyte,Human A13::A,Human A38::B,24,14.538371632794563,False,0.04895104895104895,0.952047952047952
Oligodendrocyte,Human A13::A,Human A40::A,25,23.921332404976834,False,0.23876123876123875,0.7622377622377622
Oligodendrocyte,Human A13::A,Human A40::B,26,19.09763814252605,False,0.12787212787212787,0.8731268731268731
Oligodendrocyte,Human A13::A,Human A43::A,27,26.620211804455426,False,0.33766233766233766,0.6633366633366633
