cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Oligodendrocyte precursor,Human A13::A,Human A13::B,0,7.813367727954558,True,0.003996003996003996,0.997002997002997
Oligodendrocyte precursor,Human A13::A,Human A14::A,1,9.831963768349187,False,0.058941058941058944,0.942057942057942
Oligodendrocyte precursor,Human A13::A,Human A14::B,2,10.126364384167623,False,0.08091908091908091,0.9200799200799201
Oligodendrocyte precursor,Human A13::A,Human A19::A,3,16.22911782976751,False,0.1008991008991009,0.9000999000999002
Oligodendrocyte precursor,Human A13::A,Human A19::B,4,13.534615041591254,False,0.06493506493506493,0.936063936063936
Oligodendrocyte precursor,Human A13::A,Human A1C::A,5,10.446202048186926,False,0.00999000999000999,0.991008991008991
Oligodendrocyte precursor,Human A13::A,Human A1C::B,6,13.544020090310276,False,0.04795204795204795,0.9530469530469531
Oligodendrocyte precursor,Human A13::A,Human A23::A,7,17.212795558903032,False,0.11388611388611389,0.8871128871128872
Oligodendrocyte precursor,Human A13::A,Human A23::B,8,9.762401763552607,False,0.008991008991008992,0.9920079920079921
Oligodendrocyte precursor,Human A13::A,Human A24::A,9,11.90589418730853,False,0.017982017982017984,0.983016983016983
Oligodendrocyte precursor,Human A13::A,Human A24::B,10,14.086439115256205,False,0.06493506493506493,0.936063936063936
Oligodendrocyte precursor,Human A13::A,Human A25::A,11,16.744677808401637,False,0.12387612387612387,0.8771228771228772
Oligodendrocyte precursor,Human A13::A,Human A25::B,12,17.054924060097854,False,0.13786213786213786,0.8631368631368631
Oligodendrocyte precursor,Human A13::A,Human A29-A30::A,13,10.75259551532356,False,0.017982017982017984,0.983016983016983
Oligodendrocyte precursor,Human A13::A,Human A29-A30::B,14,9.930724813981106,False,0.00999000999000999,0.991008991008991
Oligodendrocyte precursor,Human A13::A,Human A32::A,15,13.272337837529776,False,0.04195804195804196,0.9590409590409591
Oligodendrocyte precursor,Human A13::A,Human A32::B,16,14.770788847049863,False,0.11288711288711288,0.8881118881118881
Oligodendrocyte precursor,Human A13::A,Human A35-A36::A,17,22.32318093052275,False,0.35764235764235763,0.6433566433566433
Oligodendrocyte precursor,Human A13::A,Human A35-A36::B,18,19.41380707040582,False,0.27372627372627373,0.7272727272727273
Oligodendrocyte precursor,Human A13::A,Human A35r::A,19,25.195151364088836,False,0.6603396603396603,0.34065934065934067
Oligodendrocyte precursor,Human A13::A,Human A35r::B,20,25.021591645765316,False,0.6103896103896104,0.3906093906093906
Oligodendrocyte precursor,Human A13::A,Human A38::A,21,13.564360702105466,False,0.04695304695304695,0.954045954045954
Oligodendrocyte precursor,Human A13::A,Human A38::B,22,12.169500835070128,False,0.03296703296703297,0.968031968031968
Oligodendrocyte precursor,Human A13::A,Human A40::A,23,12.012363295748317,False,0.02197802197802198,0.9790209790209791
Oligodendrocyte precursor,Human A13::A,Human A40::B,24,14.279435040663527,False,0.07792207792207792,0.9230769230769231
Oligodendrocyte precursor,Human A13::A,Human A43::A,25,13.46212047772794,False,0.04795204795204795,0.9530469530469531
Oligodendrocyte precursor,Human A13::A,Human A43::B,26,16.14392349451037,False,0.12187812187812187,0.8791208791208791
Oligodendrocyte precursor,Human A13::A,Human A44-A45::A,27,13.629500531578381,False,0.058941058941058944,0.942057942057942
Oligodendrocyte precursor,Human A13::A,Human A44-A45::B,28,15.94608752105686,False,0.09090909090909091,0.9100899100899101
Oligodendrocyte precursor,Human A13::A,Human A46::A,29,14.229088729883397,False,0.07892107892107893,0.922077922077922
Oligodendrocyte precursor,Human A13::A,Human A46::B,30,15.757962785647706,False,0.0899100899100899,0.9110889110889111
Oligodendrocyte precursor,Human A13::A,Human A5-A7::A,31,11.42179389941218,False,0.026973026973026972,0.974025974025974
Oligodendrocyte precursor,Human A13::A,Human A5-A7::B,32,12.60383949913793,False,0.03996003996003996,0.961038961038961
Oligodendrocyte precursor,Human A13::A,Human ANC::A,33,32.76256899641415,False,0.6533466533466533,0.34765234765234765
Oligodendrocyte precursor,Human A13::A,Human ANC::B,34,31.525256154549716,False,0.6133866133866134,0.3876123876123876
Oligodendrocyte precursor,Human A13::A,Human AON::A,35,14.524853425968029,False,0.06393606393606394,0.9370629370629371
Oligodendrocyte precursor,Human A13::A,Human AON::B,36,14.22547083975224,False,0.07392607392607392,0.9270729270729271
Oligodendrocyte precursor,Human A13::A,Human BL::A,37,12.39257639068724,False,0.03596403596403597,0.965034965034965
Oligodendrocyte precursor,Human A13::A,Human BL::B,38,20.345475833718044,False,0.25574425574425574,0.7452547452547452
Oligodendrocyte precursor,Human A13::A,Human BM::A,39,22.903374985735642,False,0.3176823176823177,0.6833166833166833
Oligodendrocyte precursor,Human A13::A,Human BM::B,40,19.562067937530742,False,0.2037962037962038,0.7972027972027972
Oligodendrocyte precursor,Human A13::A,Human BNST::A,41,35.23362730367451,False,0.6873126873126874,0.31368631368631367
Oligodendrocyte precursor,Human A13::A,Human BNST::B,42,33.32524153442339,False,0.6513486513486514,0.34965034965034963
Oligodendrocyte precursor,Human A13::A,Human CA1-3::A,43,12.32047707328028,False,0.14685314685314685,0.8541458541458542
Oligodendrocyte precursor,Human A13::A,Human CA1-3::B,44,12.138036086574992,False,0.15584415584415584,0.8451548451548452
Oligodendrocyte precursor,Human A13::A,Human CA1C-CA3C::A,45,12.786971908467725,False,0.04495504495504495,0.9560439560439561
Oligodendrocyte precursor,Human A13::A,Human CA1C-CA3C::B,46,27.6383011272597,False,0.46853146853146854,0.5324675324675324
Oligodendrocyte precursor,Human A13::A,Human CA1R-CA2R::A,47,20.338356007781442,False,0.4975024975024975,0.5034965034965035
Oligodendrocyte precursor,Human A13::A,Human CA1R-CA2R::B,48,20.505053915449913,False,0.4865134865134865,0.5144855144855145
Oligodendrocyte precursor,Human A13::A,Human CA1R-CA2R-CA3R::A,49,16.627731481580778,False,0.16283716283716285,0.8381618381618382
Oligodendrocyte precursor,Human A13::A,Human CA1R-CA2R-CA3R::B,50,17.116996158490952,False,0.2047952047952048,0.7962037962037962
Oligodendrocyte precursor,Human A13::A,Human CA1U::A,51,26.269983749014365,False,0.5454545454545454,0.45554445554445555
Oligodendrocyte precursor,Human A13::A,Human CA1U::B,52,27.11972988178269,False,0.5224775224775224,0.4785214785214785
Oligodendrocyte precursor,Human A13::A,Human CA1U-CA2U-CA3U::A,53,10.35182510903296,False,0.02197802197802198,0.9790209790209791
Oligodendrocyte precursor,Human A13::A,Human CA1U-CA2U-CA3U::B,54,9.141682781130575,False,0.01098901098901099,0.99000999000999
Oligodendrocyte precursor,Human A13::A,Human CA2U-CA3U::A,55,15.667328226039414,False,0.3076923076923077,0.6933066933066933
Oligodendrocyte precursor,Human A13::A,Human CA2U-CA3U::B,56,14.011896707845235,False,0.19480519480519481,0.8061938061938062
Oligodendrocyte precursor,Human A13::A,Human CA3R::A,57,25.40679837462594,False,0.6693306693306693,0.33166833166833165
Oligodendrocyte precursor,Human A13::A,Human CA3R::B,58,25.843305661770977,False,0.6743256743256744,0.32667332667332666
Oligodendrocyte precursor,Human A13::A,Human CA4C-DGC::A,59,28.63177384301733,False,0.47952047952047955,0.5214785214785215
Oligodendrocyte precursor,Human A13::A,Human CA4C-DGC::B,60,30.804940500984586,False,0.5484515484515484,0.45254745254745254
Oligodendrocyte precursor,Human A13::A,Human CBL::A,61,38.07568636548993,False,0.7292707292707292,0.27172827172827174
Oligodendrocyte precursor,Human A13::A,Human CBL::B,62,39.81642170478653,False,0.7692307692307693,0.23176823176823177
Oligodendrocyte precursor,Human A13::A,Human CBV::A,63,46.85785721814394,False,0.8171828171828172,0.1838161838161838
Oligodendrocyte precursor,Human A13::A,Human CBV::B,64,39.91707263895904,False,0.7142857142857143,0.2867132867132867
Oligodendrocyte precursor,Human A13::A,Human CEN::A,65,21.521492537280082,False,0.26373626373626374,0.7372627372627373
Oligodendrocyte precursor,Human A13::A,Human CEN::B,66,21.642303226976804,False,0.26973026973026976,0.7312687312687313
Oligodendrocyte precursor,Human A13::A,Human CM::A,67,41.9887402107268,False,0.8961038961038961,0.1048951048951049
Oligodendrocyte precursor,Human A13::A,Human CM::B,68,42.333822443159036,False,0.9110889110889111,0.0899100899100899
Oligodendrocyte precursor,Human A13::A,Human CM-Pf::A,69,29.04246378178509,False,0.6053946053946054,0.3956043956043956
Oligodendrocyte precursor,Human A13::A,Human CM-Pf::B,70,29.039858415410247,False,0.6063936063936064,0.3946053946053946
Oligodendrocyte precursor,Human A13::A,Human CMN::A,71,21.31877981745782,False,0.2677322677322677,0.7332667332667333
Oligodendrocyte precursor,Human A13::A,Human CMN::B,72,24.543213144599775,False,0.4025974025974026,0.5984015984015985
Oligodendrocyte precursor,Human A13::A,Human CaB::A,73,26.739704538324915,False,0.5044955044955045,0.4965034965034965
Oligodendrocyte precursor,Human A13::A,Human CaB::B,74,20.5985417628189,False,0.2647352647352647,0.7362637362637363
Oligodendrocyte precursor,Human A13::A,Human CbDN::A,75,59.44114610031899,False,0.9170829170829171,0.08391608391608392
Oligodendrocyte precursor,Human A13::A,Human CbDN::B,76,60.14603127130326,False,0.922077922077922,0.07892107892107893
Oligodendrocyte precursor,Human A13::A,Human Cla::A,77,17.149410213031157,False,0.11888111888111888,0.8821178821178821
Oligodendrocyte precursor,Human A13::A,Human Cla::B,78,17.374997340834888,False,0.10789210789210789,0.8931068931068931
Oligodendrocyte precursor,Human A13::A,Human CoA::A,79,21.69617330904864,False,0.5354645354645354,0.46553446553446554
Oligodendrocyte precursor,Human A13::A,Human CoA::B,80,19.786399776720074,False,0.44155844155844154,0.5594405594405595
Oligodendrocyte precursor,Human A13::A,Human DGR-CA4Rpy::A,81,29.216146889669574,False,0.5114885114885115,0.48951048951048953
Oligodendrocyte precursor,Human A13::A,Human DGR-CA4Rpy::B,82,27.236704420893517,False,0.44255744255744256,0.5584415584415584
Oligodendrocyte precursor,Human A13::A,Human DGU-CA4Upy::A,83,25.721809565800978,False,0.4305694305694306,0.5704295704295704
Oligodendrocyte precursor,Human A13::A,Human DGU-CA4Upy::B,84,18.320557028673967,False,0.17782217782217782,0.8231768231768232
Oligodendrocyte precursor,Human A13::A,Human DTg::A,85,29.49094614796612,False,0.5494505494505495,0.4515484515484515
Oligodendrocyte precursor,Human A13::A,Human DTg::B,86,22.51453199672391,False,0.33766233766233766,0.6633366633366633
Oligodendrocyte precursor,Human A13::A,Human ETH::A,87,28.26492853379905,False,0.6043956043956044,0.3966033966033966
Oligodendrocyte precursor,Human A13::A,Human ETH::B,88,24.018618842502143,False,0.44955044955044954,0.5514485514485514
Oligodendrocyte precursor,Human A13::A,Human FI::A,89,19.750696583307434,False,0.21978021978021978,0.7812187812187812
Oligodendrocyte precursor,Human A13::A,Human FI::B,90,13.54665534700334,False,0.053946053946053944,0.9470529470529471
Oligodendrocyte precursor,Human A13::A,Human GPe::A,91,27.01546046383156,False,0.46153846153846156,0.5394605394605395
Oligodendrocyte precursor,Human A13::A,Human GPe::B,92,33.60287398956993,False,0.6133866133866134,0.3876123876123876
Oligodendrocyte precursor,Human A13::A,Human GPi::A,93,35.25914558021344,False,0.6593406593406593,0.34165834165834164
Oligodendrocyte precursor,Human A13::A,Human GPi::B,94,41.97349659553677,False,0.8031968031968032,0.1978021978021978
Oligodendrocyte precursor,Human A13::A,Human Gpe::A,95,30.756874407990896,False,0.6543456543456544,0.34665334665334663
Oligodendrocyte precursor,Human A13::A,Human Gpe::B,96,31.975336491168882,False,0.6793206793206793,0.32167832167832167
Oligodendrocyte precursor,Human A13::A,Human HTHma::A,97,21.263902325042526,False,0.4985014985014985,0.5024975024975025
Oligodendrocyte precursor,Human A13::A,Human HTHma::B,98,18.83002286137191,False,0.4675324675324675,0.5334665334665335
Oligodendrocyte precursor,Human A13::A,Human HTHma-HTHtub::A,99,9.043688911785289,False,0.04295704295704296,0.958041958041958
Oligodendrocyte precursor,Human A13::A,Human HTHma-HTHtub::B,100,9.934291270631029,False,0.057942057942057944,0.9430569430569431
Oligodendrocyte precursor,Human A13::A,Human HTHpo::A,101,23.4538637831519,False,0.6113886113886113,0.38961038961038963
Oligodendrocyte precursor,Human A13::A,Human HTHpo::B,102,30.179444545549803,False,0.7542457542457542,0.24675324675324675
Oligodendrocyte precursor,Human A13::A,Human HTHpo-HTHso::A,103,17.192172704159827,False,0.2017982017982018,0.7992007992007992
Oligodendrocyte precursor,Human A13::A,Human HTHpo-HTHso::B,104,17.579253525060217,False,0.18081918081918083,0.8201798201798202
