cell_type,pseudo_a,pseudo_b,pair_idx,omega,same_origin,p_low,p_high
Vascular,Human A1C::A,Human A1C::B,0,7.746047752292447,True,0.12087912087912088,0.8801198801198801
Vascular,Human A1C::A,Human A24::A,1,6.230094678814668,False,0.013986013986013986,0.987012987012987
Vascular,Human A1C::A,Human A24::B,2,8.619911796728845,False,0.2177822177822178,0.7832167832167832
Vascular,Human A1C::A,Human A25::A,3,6.651594645092633,False,0.024975024975024976,0.9760239760239761
Vascular,Human A1C::A,Human A25::B,4,6.9273658197067745,False,0.10789210789210789,0.8931068931068931
Vascular,Human A1C::A,Human A35r::A,5,12.773271920844927,False,0.8851148851148851,0.11588411588411589
Vascular,Human A1C::A,Human A35r::B,6,11.371642999355167,False,0.8291708291708292,0.17182817182817184
Vascular,Human A1C::A,Human A43::A,7,8.638175208640828,False,0.23176823176823177,0.7692307692307693
Vascular,Human A1C::A,Human A43::B,8,7.0711497974488555,False,0.03696303696303696,0.964035964035964
Vascular,Human A1C::A,Human A44-A45::A,9,8.16582724670046,False,0.17582417582417584,0.8251748251748252
Vascular,Human A1C::A,Human A44-A45::B,10,7.6084893336235915,False,0.1108891108891109,0.8901098901098901
Vascular,Human A1C::A,Human ANC::A,11,8.852458303391124,False,0.25374625374625376,0.7472527472527473
Vascular,Human A1C::A,Human ANC::B,12,8.834745089307557,False,0.37362637362637363,0.6273726273726273
Vascular,Human A1C::A,Human BL::A,13,8.200021037511922,False,0.18181818181818182,0.8191808191808192
Vascular,Human A1C::A,Human BL::B,14,8.186904386212746,False,0.16983016983016982,0.8311688311688312
Vascular,Human A1C::A,Human BM::A,15,10.256593862194324,False,0.4595404595404595,0.5414585414585414
Vascular,Human A1C::A,Human BM::B,16,10.22012430445199,False,0.48451548451548454,0.5164835164835165
Vascular,Human A1C::A,Human BNST::A,17,9.42492312705929,False,0.34265734265734266,0.6583416583416584
Vascular,Human A1C::A,Human BNST::B,18,7.329235229947073,False,0.07192807192807193,0.929070929070929
Vascular,Human A1C::A,Human CA1C-CA3C::A,19,9.988952096578446,False,0.43456543456543456,0.5664335664335665
Vascular,Human A1C::A,Human CA1C-CA3C::B,20,6.164673048182198,False,0.04895104895104895,0.952047952047952
