# SUPERSEDED 2026-09-24 by results/nc52_lihc_cox_excc.csv (nc52 B1: ex-CC default, stage categorical, PH test via cox.zph, k_f model reported).
# This file contains CC (ILSBio cell-line) samples in the LIHC cohort; the ex-CC cohort is the default from nc52 onward. Retained for audit only.
model,covariate,n,events,coef,se,HR,HR_lower,HR_upper,z,p
M1_omega_full,z,304,101,0.07197,0.10076,1.075,0.882,1.309,0.714,0.47510345044488855
M1_omega_full,stage,304,101,0.57598,0.11323,1.779,1.425,2.221,5.087,3.6434963712750346e-07
M1_omega_full,grade_ord,304,101,0.1102,0.14573,1.117,0.839,1.486,0.756,0.4495377067261912
M1_omega_full,age,304,101,0.00915,0.00801,1.009,0.993,1.025,1.142,0.2534016998544708
M1_omega_full,sex_Male,304,101,-0.0282,0.2151,0.972,0.638,1.482,-0.131,0.8957112793965543
M2_omega_stage_grade,z,304,101,0.04435,0.09812,1.045,0.862,1.267,0.452,0.6512492906382155
M2_omega_stage_grade,stage,304,101,0.58205,0.11189,1.79,1.437,2.229,5.202,1.9698352171637623e-07
M2_omega_stage_grade,grade_ord,304,101,0.09566,0.14374,1.1,0.83,1.458,0.666,0.5057239941781775
M3_omega_unadjusted,z,326,115,0.09515,0.09417,1.1,0.914,1.323,1.01,0.31229226416246636
M4_kf_full,z,304,101,0.21373,0.119,1.238,0.981,1.564,1.796,0.07247353449570215
M4_kf_full,stage,304,101,0.55348,0.11365,1.739,1.392,2.173,4.87,1.1164593540780032e-06
M4_kf_full,grade_ord,304,101,0.07479,0.14513,1.078,0.811,1.432,0.515,0.6063461444665468
M4_kf_full,age,304,101,0.00719,0.00767,1.007,0.992,1.022,0.938,0.348401494785221
M4_kf_full,sex_Male,304,101,-0.04533,0.214,0.956,0.628,1.454,-0.212,0.832251995545511
M5_kn_full,z,304,101,-0.04405,0.08355,0.957,0.812,1.127,-0.527,0.5980139255852772
M5_kn_full,stage,304,101,0.58256,0.11329,1.791,1.434,2.236,5.142,2.718537206458649e-07
M5_kn_full,grade_ord,304,101,0.11335,0.14596,1.12,0.841,1.491,0.777,0.4373800320539616
M5_kn_full,age,304,101,0.00894,0.00808,1.009,0.993,1.025,1.107,0.2683432411924458
M5_kn_full,sex_Male,304,101,-0.01583,0.21536,0.984,0.645,1.501,-0.073,0.94140872577795
M6_tnomega_full,z,300,99,-0.06892,0.10044,0.933,0.767,1.136,-0.686,0.4926310559931766
M6_tnomega_full,stage,300,99,0.56039,0.11492,1.751,1.398,2.194,4.876,1.0806177688227336e-06
M6_tnomega_full,grade_ord,300,99,0.06624,0.14703,1.068,0.801,1.425,0.45,0.6523525356789674
M6_tnomega_full,age,300,99,0.00763,0.00794,1.008,0.992,1.023,0.961,0.33640912470655593
M6_tnomega_full,sex_Male,300,99,-0.05327,0.21587,0.948,0.621,1.447,-0.247,0.8050779083564583
