# SUPERSEDED 2026-09-24 by results/nc52_tcga_pancancer_excc.csv (nc52 B1: ex-CC default; 32 ILSBio CC tumours excluded).
# This file contains CC (ILSBio cell-line) samples in the LIHC cohort; the ex-CC cohort is the default from nc52 onward. Retained for audit only.
cancer,n_tumor,n_normal,n_TT_pairs,n_NN_pairs,omega_TT_mean,omega_NN_mean,NN_TT_ratio,NN_TT_ratio_CI95_lower,NN_TT_ratio_CI95_upper,p_MWU_NN_gt_TT,kn_TT_median,kn_NN_median,kn_TT_NN_median_ratio,kn_TT_NN_mean_ratio,kn_TT_NN_mean_ratio_CI95_lower,kn_TT_NN_mean_ratio_CI95_upper,kf_TT_mean,kf_NN_mean,rank_by_NN_TT_ratio

TCGA-LUAD,493,76,2000,2850,121.66,299.76,2.464,2.128,2.863,0.0,0.0024488532782279,0.0009405770813792,2.6,2.548,2.088,3.314,0.2823,0.2259,1

TCGA-LUSC,534,58,2000,1653,122.68,209.49,1.708,1.378,2.087,8.406349164656234e-59,0.0025324239221890497,0.0010011309641585,2.53,1.891,1.463,2.594,0.3063,0.1815,3

TCGA-LIHC,398,57,2000,1596,77.31,85.34,1.104,0.933,1.286,0.19178406752891908,0.00398045558824685,0.0019166390161310001,2.08,1.347,1.019,1.882,0.3066,0.1851,5

TCGA-KIRC,750,82,2000,3321,125.78,236.46,1.88,1.632,2.161,1.4066893313816804e-232,0.00260137731792705,0.0007203153387293,3.61,3.292,2.544,4.35,0.2643,0.1709,2

TCGA-BRCA,1010,109,2000,5886,128.23,201.0,1.567,1.34,1.845,3.328191565817422e-42,0.0024123047236967,0.0008691107352548,2.78,2.27,1.835,2.907,0.2944,0.1422,4

