pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUSC,TCGA-22-5472-01,TCGA-77-8131-01,0.0012608751629530266,0.3145825454739898,249.49539392720152,249.49539392720152
TT,TCGA-LUSC,TCGA-96-8169-01,TCGA-CC-5258-01,0.0032107806525329486,0.13078545666904526,40.73322684496373,40.73322684496373
TT,TCGA-LUSC,TCGA-56-8622-01,TCGA-77-8154-01,0.0018747503591337554,0.34078624514557554,181.7768661759525,181.7768661759525
TT,TCGA-LUSC,TCGA-77-6845-01,TCGA-98-8020-01,0.002445555978618426,0.35062239855153665,143.37124221119427,143.37124221119427
TT,TCGA-LUSC,TCGA-52-7810-01,TCGA-77-7142-01,0.004570577059127302,0.21984763247999867,48.10062922819991,48.10062922819991
TT,TCGA-LUSC,TCGA-77-6845-01,TCGA-85-A4QR-01,0.0021050227316416464,0.31441931995442507,149.36623497135278,149.36623497135278
TT,TCGA-LUSC,TCGA-77-8148-01,TCGA-77-8150-01,0.0012840299328631863,0.28040843973609975,218.38154435452506,218.38154435452506
TT,TCGA-LUSC,TCGA-33-6738-01,TCGA-85-8582-01,0.0026462423605823644,0.3413780709663262,129.00483948537442,129.00483948537442
TT,TCGA-LUSC,TCGA-77-8131-01,TCGA-CC-A8HV-01,0.004547643560309277,0.18237718630402905,40.10366773151982,40.10366773151982
TT,TCGA-LUSC,TCGA-18-3410-01,TCGA-33-4589-01,0.011494061240251737,0.2401478358402343,20.893210051747968,20.893210051747968
TT,TCGA-LUSC,TCGA-18-3419-01,TCGA-L5-A4OJ-01,0.003123559588729936,0.4301601009066073,137.71470935232384,137.71470935232384
TT,TCGA-LUSC,TCGA-77-8130-01,TCGA-77-8138-01,0.0013552091359269746,0.2680855606069097,197.81859013482585,197.81859013482585
TT,TCGA-LUSC,TCGA-85-A511-01,TCGA-CC-5264-01,0.002944747450613539,0.26967820453450686,91.57939995102784,91.57939995102784
TT,TCGA-LUSC,TCGA-22-5485-01,TCGA-56-7579-01,0.002179565835916432,0.35739990568608493,163.97756828291017,163.97756828291017
TT,TCGA-LUSC,TCGA-77-7338-01,TCGA-94-8035-01,0.002094923490944341,0.20674872358063506,98.69034572114026,98.69034572114026
TT,TCGA-LUSC,TCGA-56-8625-01,TCGA-56-A5DR-01,0.0021443650902930236,0.25971520353079397,121.11519848297118,121.11519848297118
TT,TCGA-LUSC,TCGA-43-8115-01,TCGA-L5-A8NR-01,0.002165969772625215,0.28150918962180793,129.96912199776963,129.96912199776963
TT,TCGA-LUSC,TCGA-22-5483-01,TCGA-56-A4ZJ-01,0.002005617734483618,0.2903797714646887,144.78320891964597,144.78320891964597
TT,TCGA-LUSC,TCGA-39-5040-01,TCGA-CC-A7IG-01,0.010842742239465667,0.35861047352557995,33.07378019375036,33.07378019375036
TT,TCGA-LUSC,TCGA-22-5489-01,TCGA-IG-A4QS-01,0.0042850728997957345,0.3475274328172927,81.10187176368902,81.10187176368902
TT,TCGA-LUSC,TCGA-66-2786-01,TCGA-85-8580-01,0.0014876173229692187,0.26837063971212216,180.4030079297989,180.4030079297989
TT,TCGA-LUSC,TCGA-22-4596-01,TCGA-98-A53C-01,0.0012627144444005624,0.22429772600147746,177.63139322284096,177.63139322284096
TT,TCGA-LUSC,TCGA-33-AASD-01,TCGA-IF-A4AK-01,0.003522919713161703,0.4581311069781224,130.04301666783232,130.04301666783232
TT,TCGA-LUSC,TCGA-21-5783-01,TCGA-39-5031-01,0.00214424868534271,0.21274891397756385,99.21839543698295,99.21839543698295
TT,TCGA-LUSC,TCGA-37-4132-01,TCGA-68-8251-01,0.0037299997665507204,0.2433259888945109,65.23485365242372,65.23485365242372
TT,TCGA-LUSC,TCGA-63-A5MJ-01,TCGA-85-A4CL-01,0.0030217082496182676,0.29844693207451006,98.76761997529472,98.76761997529472
TT,TCGA-LUSC,TCGA-77-A5GH-01,TCGA-90-6837-01,0.0018784430085155577,0.3582466315451557,190.71466630667737,190.71466630667737
TT,TCGA-LUSC,TCGA-43-6773-01,TCGA-CC-A5UD-01,0.003320917789211674,0.3170731650408814,95.47757131204048,95.47757131204048
TT,TCGA-LUSC,TCGA-60-2715-01,TCGA-70-6722-01,0.0015705390111837956,0.2005041451102521,127.66581643783677,127.66581643783677
